"lat"	"long"	"name"	"url"	"user"	"id"	"price"	"stars"	"reviews"	"accommodates"	"bathrooms"	"bedrooms"	"beds"	"propType"	"roomType"	"filename"
41.8851258447303	-87.6301721810384	"Best Location in Downtown Chicago"	"/rooms/12249366?s=4zvESEn3"	3423843	12249366	129	0	0	"4"	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"
41.8612886018731	-87.6218267822063	"Bedroom in Historic Chicago Loft"	"/rooms/3339715?s=4zvESEn3"	13060905	3339715	85	5	139	"2"	1	1	1	"Loft"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"
41.9280669650412	-87.6957599671177	"Charming 1 Bdm Apt Logan Square"	"/rooms/11636051?s=xca10LEo"	40337673	11636051	59	5	3	"3"	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"
41.8701659653444	-87.6519239279822	"Private room 10 min from downtown!"	"/rooms/12291613?s=xca10LEo"	66248138	12291613	40	0	1	"1"	2	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"
41.8835780572145	-87.6489912728517	"Modern 1 br in Trendy West Loop"	"/rooms/6193582?s=xca10LEo"	4711525	6193582	150	5	9	"3"	1	1	1	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"
41.940204696263	-87.6513315504188	"Beautiful West Lakeview location"	"/rooms/3434136?s=xca10LEo"	17217012	3434136	65	5	77	"1"	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"
41.752823136515	-87.5620127954962	"MASTER BEDROOM IN CHICAGO CONDO"	"/rooms/3177497?s=xca10LEo"	13374424	3177497	19	4.5	4	"2"	1	1	1	"Condominium"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"
41.8909262524589	-87.6204027307551	"Luxury Studio 60611 + FREE Parking"	"/rooms/310400?s=bvORlYS3"	1179987	310400	140	5	176	"3"	1	0	2	"Apartment"	"Entire home/apt"	"airbnb_scrape_Chicago--IL_all.txt"
41.8930813724648	-87.6198706857432	"Prime River North Rm w/ Great View"	"/rooms/6316532?s=bvORlYS3"	258444	6316532	90	5	22	"2"	1	1	1	"Apartment"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"
41.8994753843532	-87.6673182512769	"Noble Sq Comfy Bed + Private Bath"	"/rooms/9712606?s=bvORlYS3"	41500357	9712606	70	5	7	"2"	1	1	1	"Condominium"	"Private room"	"airbnb_scrape_Chicago--IL_all.txt"
